Comunidades y ciudades autónomas;Sexo;Edad;Periodo;
02 Aragón;Total;De 51 a 60 años;2018;671
02 Aragón;Total;De 51 a 60 años;2017;666
02 Aragón;Total;De 51 a 60 años;2016;653
02 Aragón;Total;De 51 a 60 años;2015;508
02 Aragón;Total;De 51 a 60 años;2014;418
02 Aragón;Total;De 51 a 60 años;2013;426
02 Aragón;Total;De 61 a 70 años;2019;220
02 Aragón;Total;De 61 a 70 años;2018;207
02 Aragón;Total;De 61 a 70 años;2017;208
02 Aragón;Total;De 61 a 70 años;2016;235
02 Aragón;Total;De 61 a 70 años;2015;147
02 Aragón;Total;De 61 a 70 años;2014;105
02 Aragón;Total;De 61 a 70 años;2013;106
02 Aragón;Total;71 y más años;2019;81
02 Aragón;Total;71 y más años;2018;91
02 Aragón;Total;71 y más años;2017;88
02 Aragón;Total;71 y más años;2016;83
02 Aragón;Total;71 y más años;2015;52
02 Aragón;Total;71 y más años;2014;36
02 Aragón;Total;71 y más años;2013;25
02 Aragón;Hombres;Total ;2019;5.391
02 Aragón;Hombres;Total ;2018;5.180
02 Aragón;Hombres;Total ;2017;5.215
02 Aragón;Hombres;Total ;2016;5.380
02 Aragón;Hombres;Total ;2015;4.602
02 Aragón;Hombres;Total ;2014;4.387
02 Aragón;Hombres;Total ;2013;4.361
02 Aragón;Hombres;De 18 a 20 años;2019;447
02 Aragón;Hombres;De 18 a 20 años;2018;439
02 Aragón;Hombres;De 18 a 20 años;2017;438
02 Aragón;Hombres;De 18 a 20 años;2016;453
02 Aragón;Hombres;De 18 a 20 años;2015;465
02 Aragón;Hombres;De 18 a 20 años;2014;360
02 Aragón;Hombres;De 18 a 20 años;2013;313
02 Aragón;Hombres;De 21 a 25 años;2019;710
